,Opportunity_ID,Total_Taxable_Amount,antiguedad_cuenta,tiempo_entrega_max,Target,Month,Product_Family
0,0,5958263.999999999,5.8,206,0,5,0.48959230583554847
1,1,54499.899999999994,5.8,44,1,1,0.48959230583554847
2,2,83865.6,7.7,48,1,1,0.7422486260683915
3,3,7421881.5,28.8,844,0,2,0.2580788017886773
4,4,13357192.5,28.8,813,0,2,0.2580788017886773
5,5,14838277.5,28.8,844,0,2,0.2580788017886773
6,6,2659494.6,28.8,510,0,2,0.30048219020958444
7,7,50688.0,7.73,47,1,1,0.6273373462795474
8,8,4704.0,7.77,82,0,2,0.45199750404036065
9,9,5593.2,7.77,82,0,2,0.45199750404036065
10,10,5796.0,7.77,82,0,2,0.45199750404036065
11,11,1621851.0,1.9,37,1,1,0.6709306786551279
12,12,221650.0,0.0,53,0,1,0.48959230583554847
13,13,10129.2,7.77,82,0,2,0.47412122457982875
14,14,9723.6,7.77,82,0,2,0.47412122457982875
15,15,11441.2,7.77,82,0,2,0.5351072245506824
16,16,13590.4,7.77,82,0,2,0.5024073482247708
17,17,4860.0,7.77,82,0,2,0.45199750404036065
18,18,5767.2,7.77,82,0,2,0.4396060854419928
19,19,293658.75,28.83,128,0,4,0.30048219020958444
20,20,116785.49999999999,28.83,51,1,1,0.48959230583554847
21,21,3184974.0,28.0,112,1,3,0.820631702977821
22,22,2433.6,7.8,29,1,1,0.48959230583554847
23,23,242384.99999999997,23.37,33,1,1,0.48959230583554847
24,24,242384.99999999997,23.37,40,1,1,0.48959230583554847
25,25,1758943.8749999998,0.0,76,0,2,0.48959230583554847
26,26,621251.3999999999,28.9,532,0,4,0.7150441920675155
27,27,475447.49999999994,28.93,48,1,1,0.596967122164356
28,28,484769.99999999994,28.93,68,1,2,0.48959230583554847
29,29,3920.0,0.0,48,1,1,0.7150441920675155
30,30,7695.0,0.2,199,0,4,0.494119647362228
31,31,22458071.999999996,24.17,260,1,7,0.48959230583554847
32,32,576876.2999999999,29.03,80,0,2,0.48959230583554847
33,33,118988.99999999999,29.07,37,0,1,0.48959230583554847
34,34,412342.64999999997,4.97,105,1,3,0.569935529749754
35,35,6348520.8,0.4,912,0,4,0.5143212557038058
36,36,117463.49999999999,0.0,71,1,1,0.6216216409946133
37,37,5998.8,8.03,74,0,2,0.45199750404036065
38,38,11546.0,8.03,74,0,2,0.4754858372270167
39,39,5718.0,8.03,74,0,2,0.45199750404036065
40,40,10332.0,8.03,74,0,2,0.47412122457982875
41,41,202.8,8.03,74,0,2,0.48959230583554847
42,42,10332.0,8.03,74,0,2,0.47412122457982875
43,43,11421.2,8.03,74,0,2,0.4923165008278739
44,44,4704.0,8.03,74,0,2,0.45199750404036065
45,45,11085073.999999998,0.07,196,0,5,0.48959230583554847
46,46,2380627.5,27.8,88,1,3,0.569935529749754
47,47,629145.0,0.0,154,0,5,0.32199988778805594
48,49,109760.0,15.5,64,1,2,0.7150441920675155
49,50,343745.99999999994,22.03,195,0,6,0.48959230583554847
50,51,565565.0,22.03,195,0,6,0.7360530988030505
51,52,17550.0,29.17,57,0,2,0.48959230583554847
52,53,13438632.9,12.27,131,0,4,0.31124103899882016
53,54,128520.0,12.23,28,1,1,0.6709306786551279
54,55,294780.0,12.23,74,1,2,0.6709306786551279
55,56,339165.3,12.23,101,1,2,0.6709306786551279
56,57,374544.0,12.23,81,1,2,0.6709306786551279
57,58,379990.0,9.43,70,1,2,0.48959230583554847
58,59,289184.0,0.0,60,1,2,0.6942910998469721
59,61,582868.125,29.27,100,0,2,0.5297639177926512
60,62,121192.49999999999,29.27,83,1,3,0.48959230583554847
61,63,14469907.2,28.43,374,0,12,0.32199988778805594
62,64,463446.9,2.37,221,0,5,0.32199988778805594
63,65,463446.9,2.37,221,0,5,0.32199988778805594
64,66,463446.9,2.37,221,0,5,0.32199988778805594
65,67,463446.9,2.37,221,0,5,0.32199988778805594
66,68,463446.9,2.37,221,0,5,0.32199988778805594
67,69,463446.9,2.37,221,0,5,0.32199988778805594
68,70,463446.9,2.37,221,0,5,0.32199988778805594
69,71,463446.9,2.37,221,0,5,0.32199988778805594
70,72,463446.9,2.37,221,0,5,0.32199988778805594
71,73,463446.9,2.37,221,0,5,0.32199988778805594
72,74,463446.9,2.37,221,0,5,0.32199988778805594
73,75,485515.8,2.37,194,0,6,0.32199988778805594
74,76,485515.8,2.37,201,0,6,0.32199988778805594
75,77,485515.8,2.37,208,0,6,0.32199988778805594
76,78,485515.8,2.37,222,0,7,0.32199988778805594
77,79,485515.8,2.37,236,0,7,0.32199988778805594
78,80,485515.8,2.37,243,0,7,0.32199988778805594
79,81,485515.8,2.37,250,0,8,0.32199988778805594
80,82,485515.8,2.37,271,0,8,0.32199988778805594
81,83,485515.8,2.37,264,0,8,0.32199988778805594
82,84,485515.8,2.37,271,0,8,0.32199988778805594
83,85,485515.8,2.37,278,0,8,0.32199988778805594
84,86,485515.8,2.37,285,0,9,0.32199988778805594
85,87,485515.8,2.37,299,0,9,0.32199988778805594
86,88,485515.8,2.37,327,0,10,0.32199988778805594
87,89,485515.8,2.37,341,0,10,0.32199988778805594
88,90,121192.49999999999,8.93,63,0,2,0.48959230583554847
89,91,108999.79999999999,0.0,82,0,3,0.48959230583554847
90,92,74037.59999999999,8.93,54,1,2,0.7360530988030505
91,93,277641.0,29.3,75,1,1,0.7360530988030505
92,94,237977.99999999997,29.3,38,1,1,0.48959230583554847
93,95,122400.18749999999,29.3,98,0,3,0.569935529749754
94,96,1332347.5,0.0,120,0,4,0.34080755985969147
95,97,4290.0,6.4,19,1,1,0.48959230583554847
96,98,4781.25,6.4,36,1,1,0.6664734886752306
97,99,123760.0,27.4,15,1,1,0.48959230583554847
98,100,242760.0,27.4,15,1,1,0.6709306786551279
99,101,247520.0,27.4,39,1,2,0.48959230583554847
100,102,123760.0,27.4,43,1,2,0.48959230583554847
101,103,90454.0,28.83,67,1,2,0.48959230583554847
102,104,99000.0,28.83,78,1,3,0.6953109774370951
103,105,3900.5,28.83,22,1,1,0.7664840585911058
104,106,710611.2000000001,6.53,67,1,2,0.48959230583554847
105,107,148044.0,6.53,67,0,2,0.48959230583554847
106,108,130088.0,0.13,24,1,1,0.6942910998469721
107,109,132636.0,0.13,38,1,2,0.6036219134371824
108,110,147646.8,0.23,129,1,5,0.32199988778805594
109,111,8970.0,27.8,7,1,1,0.48959230583554847
110,112,6458.400000000001,27.8,8,1,1,0.48959230583554847
111,113,290239.08749999997,23.13,34,1,1,0.6709306786551279
112,114,112378.49999999999,19.1,37,1,1,0.6709306786551279
113,115,943979.3999999999,9.4,115,0,4,0.48959230583554847
114,116,1652624.9999999998,29.77,115,0,4,0.48959230583554847
115,117,596597.625,29.77,551,0,7,0.6126492425105408
116,118,9676209.39,7.43,191,0,7,0.30048219020958444
117,119,4227.2,8.7,85,0,3,0.4583260550679928
118,120,9921.2,8.7,85,0,3,0.5113390816800603
119,121,14267.2,8.7,85,0,3,0.4922618773523933
120,122,24376.0,8.7,85,0,3,0.4922618773523933
121,123,60856.4,8.7,85,0,3,0.5060844976745739
122,124,5482.0,8.7,85,0,3,0.4586445055376387
123,125,22950.0,29.73,0,1,1,0.6709306786551279
124,126,5430.0,8.7,134,1,5,0.5892539838688323
125,127,6800.0,8.7,79,1,3,0.6422670104808997
126,128,8698.4,8.7,85,0,3,0.5116575321497061
127,129,3825.0,29.73,9,1,1,0.6709306786551279
128,130,221650.0,0.0,85,0,3,0.48959230583554847
129,132,123760.0,27.83,0,1,1,0.48959230583554847
130,134,123760.0,27.83,6,1,1,0.48959230583554847
131,135,123760.0,27.83,12,1,1,0.48959230583554847
132,136,247520.0,27.83,16,1,1,0.48959230583554847
133,137,83125.0,29.73,128,1,4,0.682080692407084
134,138,242760.0,27.83,13,1,1,0.6709306786551279
135,139,9523200.0,24.93,267,0,7,0.32199988778805594
136,140,1190227.5,4.97,97,0,4,0.30048219020958444
137,141,7010.400000000001,8.73,84,0,3,0.5060768844128448
138,142,8111.6,8.73,84,1,3,0.5060768844128448
139,143,5766.8,8.73,84,0,3,0.5063498419582556
140,144,25408.8,8.73,84,0,3,0.5047198850273859
141,145,32465.0,8.73,85,1,4,0.5185439240686371
142,146,5235.6,8.73,84,0,3,0.5060768844128448
143,147,56006.4,8.73,84,0,3,0.5759097161155997
144,148,11172.0,8.73,127,1,5,0.5333426470908117
145,149,8470.0,8.73,11,1,1,0.5515166215089027
146,150,9252.0,8.73,84,0,3,0.5517895790543135
147,151,6052.400000000001,8.73,84,0,3,0.5063498419582556
148,152,7144.400000000001,8.73,12,1,1,0.6248824420286725
149,153,2936824.8,0.0,106,0,4,0.6709306786551279
150,154,4944653.999999999,0.0,175,0,4,0.6709306786551279
151,155,114412.49999999999,29.8,8,1,1,0.7043419384931635
152,156,114412.49999999999,29.83,22,1,1,0.7043419384931635
153,157,485520.0,27.9,24,1,2,0.6709306786551279
154,158,278850.0,0.0,83,0,2,0.48959230583554847
155,159,208080.0,27.9,26,1,2,0.6709306786551279
156,160,11478.0,8.77,108,1,4,0.6026508514432327
157,161,5664096.749999999,20.4,205,0,7,0.48959230583554847
158,162,6779434.999999999,20.4,204,0,6,0.48959230583554847
159,163,962488.7999999999,13.53,327,0,10,0.48959230583554847
160,164,1167855.0,12.87,52,0,2,0.48959230583554847
161,165,20655.0,11.8,21,1,1,0.6709306786551279
162,166,1856855.0,13.9,67,0,2,0.48959230583554847
163,167,550654.6499999999,23.33,70,1,3,0.48959230583554847
164,168,892173.8494,23.93,252,0,3,0.569935529749754
165,169,129930.22499999999,6.03,102,0,4,0.6529943142764023
166,170,84532.5,17.9,49,1,3,0.6709306786551279
167,171,155713.99999999997,11.4,107,0,4,0.569935529749754
168,172,795106.0,0.0,170,0,4,0.48959230583554847
169,173,120900.0,0.0,68,0,3,0.32199988778805594
170,174,198000.0,29.5,51,1,3,0.6953109774370951
171,175,172313.69999999998,15.63,169,0,6,0.6709306786551279
172,176,840855.6,30.0,139,0,5,0.569935529749754
173,177,1824938.6999999997,30.0,107,0,4,0.48959230583554847
174,178,123760.0,28.1,42,1,2,0.48959230583554847
175,179,347051.24999999994,30.03,77,1,3,0.48959230583554847
176,180,2795520.0,25.63,442,0,2,0.48959230583554847
177,181,1603050.75,30.03,162,0,6,0.30048219020958444
178,182,1051430.63,30.03,169,0,6,0.30048219020958444
179,183,119791.29999999999,0.97,76,1,3,0.6433291143772542
180,184,3745267.5,0.0,45,0,2,0.48959230583554847
181,185,2884381.4999999995,12.0,76,0,3,0.48959230583554847
182,186,195574.74999999997,30.07,101,0,4,0.7150441920675155
183,187,295856.6,7.13,74,0,3,0.48959230583554847
184,188,291963.75,7.13,105,1,4,0.569935529749754
185,189,311427.99999999994,7.13,75,0,3,0.48959230583554847
186,190,70071.29999999999,7.13,30,1,2,0.48959230583554847
187,191,120385.2619,7.13,96,1,4,0.6155285937135073
188,192,6365.5,9.1,4,1,1,0.6247131677474281
189,193,46020.0,3.17,28,1,2,0.48959230583554847
190,194,634607.9999999999,16.57,262,0,10,0.48959230583554847
191,195,115471.87499999999,30.17,49,0,3,0.7043419384931635
192,196,138820.5,30.17,63,1,3,0.7150441920675155
193,197,155713.99999999997,9.43,164,0,6,0.569935529749754
